,popularity,price_tier,outdoors,good_for_groups,has_credit_card,good_for_kids,has_delivery,caters
723,0,1,1,1,1,1,1,1
724,1,1,1,1,0,1,1,1
725,0,1,1,1,1,1,1,0
726,0,1,1,1,1,1,1,1
727,2,2,1,1,1,1,1,1
728,0,1,1,1,1,1,1,1
729,0,2,1,1,1,1,1,1
730,0,1,1,1,1,1,1,1
731,2,1,1,1,1,1,1,1
732,0,1,1,1,1,1,1,0
733,0,2,1,0,1,0,1,1
734,1,1,1,1,1,1,1,1
735,2,2,1,1,1,1,1,1
736,2,2,1,1,1,1,1,1
737,2,2,1,0,1,1,1,1
738,1,1,1,1,1,1,1,1
739,2,2,1,1,1,1,1,1
740,2,2,1,1,1,1,1,1
741,1,2,1,1,1,1,1,1
742,0,2,0,0,1,0,1,1
743,0,1,1,1,1,1,1,1
744,2,2,1,1,1,1,1,1
745,0,1,1,1,0,1,1,1
746,0,1,1,1,1,1,1,1
747,1,2,1,0,1,0,0,1
748,2,2,1,1,1,1,1,1
749,0,2,1,0,1,0,0,1
750,0,1,1,1,0,1,1,1
751,1,1,1,1,1,1,1,1
752,1,1,0,0,1,0,1,1
753,0,1,0,0,1,0,0,0
754,2,3,1,1,1,1,1,1
755,1,2,1,1,0,1,1,1
756,2,2,1,1,1,1,1,1
757,1,1,1,1,1,1,1,1
758,0,1,1,1,1,1,1,1
759,1,2,1,1,1,1,1,1
760,1,2,0,0,1,1,0,1
761,1,1,1,1,1,1,1,1
762,1,1,0,1,0,1,1,0
763,0,2,1,1,0,1,1,1
764,1,2,1,1,1,1,1,1
